width,space,length,gnd_width,unshield_length,via_thickness,metal_thickness,vin,vrise,period,txres,delay
2.05,4.9,1597.0,4.6,327.0,0.88,1.6,1.05,25.5,168.0,36.0, 54.723
4.55,4.82,1586.0,0.8,437.0,0.98,0.72,0.55,46.0,343.75,33.5, 63.539
4.55,4.82,1586.0,0.8,437.0,0.98,0.72,1.0,17.0,87.5,56.5, -135.140
4.55,4.82,1586.0,0.8,437.0,0.98,0.72,0.75,20.25,472.75,65.0, 75.206
4.55,4.82,1586.0,0.8,437.0,0.98,0.72,1.3,27.0,315.5,26.0, 60.515
3.2,3.5,2037.0,3.55,336.0,0.46,1.44,0.55,8.75,92.0,51.5, -146.647
3.2,3.5,2037.0,3.55,336.0,0.46,1.44,0.75,49.75,333.25,41.5, 78.383
3.2,3.5,2037.0,3.55,336.0,0.46,1.44,1.2,46.75,564.75,73.0, 123.495
3.2,3.5,2037.0,3.55,336.0,0.46,1.44,1.1,77.0,429.25,25.0, 70.227
2.45,2.86,3687.0,1.4,551.0,1.68,1.44,0.6,80.0,436.25,21.5, 77.504
2.45,2.86,3687.0,1.4,551.0,1.68,1.44,0.85,56.25,579.75,66.5, 97.731
2.45,2.86,3687.0,1.4,551.0,1.68,1.44,1.05,42.75,274.75,34.0, 84.141
2.45,2.86,3687.0,1.4,551.0,1.68,1.44,1.2,14.75,208.75,45.5, 87.909
1.25,2.18,2689.0,1.7,325.0,1.66,0.86,1.4,36.25,275.5,73.0, 89.715
1.25,2.18,2689.0,1.7,325.0,1.66,0.86,0.5,14.25,130.25,16.5, 65.820
1.25,2.18,2689.0,1.7,325.0,1.66,0.86,0.7,77.5,463.25,54.5, 88.619
1.25,2.18,2689.0,1.7,325.0,1.66,0.86,1.0,16.25,507.75,42.0, 74.231
2.95,3.04,4353.0,1.65,448.0,1.96,1.16,0.7,54.75,390.5,30.0, 84.436
2.95,3.04,4353.0,1.65,448.0,1.96,1.16,1.4,19.5,274.5,55.0, 93.455
2.95,3.04,4353.0,1.65,448.0,1.96,1.16,0.95,40.0,206.25,62.0, 93.211
2.95,3.04,4353.0,1.65,448.0,1.96,1.16,0.5,49.25,544.0,27.0, 81.572
1.25,3.96,3555.0,2.55,485.0,0.52,2.0,0.9,108.25,569.75,40.0, 108.783
1.25,3.96,3555.0,2.55,485.0,0.52,2.0,0.5,41.0,264.25,15.0, -193.945
1.25,3.96,3555.0,2.55,485.0,0.52,2.0,1.25,16.0,391.0,74.0, -1497.822
1.25,3.96,3555.0,2.55,485.0,0.52,2.0,0.9,22.0,205.25,46.5, 102.159
3.05,2.52,1578.0,3.9,449.0,1.98,1.78,1.0,15.25,89.75,55.5, -144.623
3.05,2.52,1578.0,3.9,449.0,1.98,1.78,0.7,34.75,560.75,34.5, 54.890
3.05,2.52,1578.0,3.9,449.0,1.98,1.78,1.4,14.0,231.0,20.5, 48.393
3.05,2.52,1578.0,3.9,449.0,1.98,1.78,0.55,72.75,396.0,69.5, 69.489
3.45,4.66,2890.0,2.5,539.0,0.66,0.82,1.25,45.75,262.25,37.5, 99.394
3.45,4.66,2890.0,2.5,539.0,0.66,0.82,0.6,41.25,365.5,20.0, 91.472
3.45,4.66,2890.0,2.5,539.0,0.66,0.82,0.8,16.25,474.5,50.5, 108.154
3.45,4.66,2890.0,2.5,539.0,0.66,0.82,1.0,16.5,143.5,61.5, 96.816
3.4,2.34,3735.0,2.05,577.0,0.64,1.14,0.85,40.5,433.5,21.5, 102.687
3.4,2.34,3735.0,2.05,577.0,0.64,1.14,0.55,11.0,118.25,38.5, -173.785
3.4,2.34,3735.0,2.05,577.0,0.64,1.14,1.05,34.75,291.75,70.5, -796.125
3.4,2.34,3735.0,2.05,577.0,0.64,1.14,1.2,83.5,536.75,44.5, 119.089
4.35,4.02,2885.0,3.85,489.0,0.78,0.68,0.6,63.75,559.75,58.5, 113.776
4.35,4.02,2885.0,3.85,489.0,0.78,0.68,0.9,34.25,173.5,31.0, 96.995
4.35,4.02,2885.0,3.85,489.0,0.78,0.68,0.95,10.5,316.0,66.5, -881.341
4.35,4.02,2885.0,3.85,489.0,0.78,0.68,1.2,44.75,425.75,19.5, 88.452
4.25,3.8,4855.0,3.7,569.0,1.18,0.54,0.5,48.25,491.25,67.0, 157.334
4.25,3.8,4855.0,3.7,569.0,1.18,0.54,1.15,39.5,329.0,24.5, 122.953
4.25,3.8,4855.0,3.7,569.0,1.18,0.54,0.85,9.0,110.5,35.0, 111.395
4.25,3.8,4855.0,3.7,569.0,1.18,0.54,1.35,61.75,383.5,50.5, 143.626
3.35,3.8,4155.0,3.55,519.0,1.46,1.58,0.95,55.5,311.0,37.5, 91.100
3.35,3.8,4155.0,3.55,519.0,1.46,1.58,1.2,9.25,96.75,72.5, -139.413
3.35,3.8,4155.0,3.55,519.0,1.46,1.58,0.45,34.25,522.0,25.0, 85.112
3.35,3.8,4155.0,3.55,519.0,1.46,1.58,0.9,43.25,385.5,54.0, 95.785
3.3,3.14,2065.0,3.1,368.0,0.46,1.84,0.7,12.0,89.5,35.0, -138.411
3.3,3.14,2065.0,3.1,368.0,0.46,1.84,1.2,57.0,386.25,61.0, -1501.563
3.3,3.14,2065.0,3.1,368.0,0.46,1.84,0.95,10.75,259.75,25.0, 70.323
3.3,3.14,2065.0,3.1,368.0,0.46,1.84,0.45,104.75,563.75,46.0, 92.920
0.85,3.4,2757.0,4.1,396.0,1.88,1.7,0.65,21.75,402.5,71.0, 85.547
0.85,3.4,2757.0,4.1,396.0,1.88,1.7,0.7,21.25,259.5,58.5, 75.905
0.85,3.4,2757.0,4.1,396.0,1.88,1.7,1.05,22.25,112.5,40.0, 70.190
0.85,3.4,2757.0,4.1,396.0,1.88,1.7,1.3,71.25,508.25,26.5, 65.966
4.95,2.38,1874.0,1.5,329.0,0.4,1.94,0.45,27.75,259.75,28.0, 65.200
4.95,2.38,1874.0,1.5,329.0,0.4,1.94,1.25,9.0,84.5,72.5, -139.552
4.95,2.38,1874.0,1.5,329.0,0.4,1.94,0.95,96.0,543.75,50.5, 94.172
4.95,2.38,1874.0,1.5,329.0,0.4,1.94,0.85,50.0,355.5,22.0, 60.743
2.5,4.12,3654.0,4.6,310.0,0.56,0.52,0.85,38.75,493.0,52.5, 160.281
2.5,4.12,3654.0,4.6,310.0,0.56,0.52,1.25,56.5,385.5,38.0, 137.861
2.5,4.12,3654.0,4.6,310.0,0.56,0.52,1.0,48.25,285.5,25.0, 115.947
2.5,4.12,3654.0,4.6,310.0,0.56,0.52,0.6,10.0,206.5,74.0, 141.230
2.35,3.04,4724.0,1.35,526.0,1.48,1.92,0.55,29.5,385.0,43.5, 96.265
2.35,3.04,4724.0,1.35,526.0,1.48,1.92,1.1,13.0,147.0,44.0, 95.625
2.35,3.04,4724.0,1.35,526.0,1.48,1.92,0.85,39.5,251.5,17.0, -477.853
